time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.0955,299.9759133,300.054756,0.000246395,295.4434839,295.79497,0.00113135,293.6552762,293.4539002,0.000658572
0.096,300.0032319,300.0834379,0.000250655,295.4604086,295.8162844,0.00114548,293.6613704,293.4574179,0.000666997
0.0965,300.0304985,300.112083,0.000254963,295.477343,295.8376354,0.00115969,293.6674974,293.4609523,0.000675477
0.097,300.0577135,300.1406918,0.000259319,295.4942867,295.8590228,0.001174,293.6736573,293.4645031,0.000684009
0.0975,300.0848771,300.1692646,0.000263723,295.5112394,295.880446,0.00118839,293.6798497,293.4680704,0.000692594
0.098,300.1119896,300.1978019,0.000268175,295.5282009,295.9019049,0.00120286,293.6860745,293.4716539,0.000701232
0.0985,300.1390513,300.2263038,0.000272677,295.5451708,295.9233989,0.00121742,293.6923317,293.4752537,0.000709923
0.099,300.1660624,300.2547709,0.000277227,295.562149,295.9449279,0.00123207,293.698621,293.4788696,0.000718666
0.0995,300.1930231,300.2832035,0.000281827,295.5791352,295.9664913,0.0012468,293.7049423,293.4825015,0.000727461
0.1,300.2199338,300.3116019,0.000286476,295.5961291,295.9880889,0.00126162,293.7112954,293.4861493,0.000736308
0.1005,300.2467946,300.3399664,0.000291175,295.6131305,296.0097202,0.00127652,293.7176802,293.4898129,0.000745208
0.101,300.2736057,300.3682975,0.000295925,295.6301391,296.0313851,0.00129151,293.7240966,293.4934923,0.000754158
0.1015,300.3003675,300.3965954,0.000300726,295.6471548,296.053083,0.00130658,293.7305442,293.4971873,0.000763161
0.102,300.3270801,300.4248605,0.000305578,295.6641772,296.0748138,0.00132174,293.7370231,293.5008979,0.000772214
0.1025,300.3537438,300.4530931,0.000310481,295.6812061,296.096577,0.00133698,293.7435331,293.5046238,0.000781319
0.103,300.3803587,300.4812936,0.000315436,295.6982415,296.1183723,0.0013523,293.7500738,293.5083652,0.000790474
0.1035,300.4069251,300.5094622,0.000320443,295.7152829,296.1401994,0.0013677,293.7566454,293.5121217,0.00079968
0.104,300.4334465,300.5375993,0.000325492,295.7323262,296.162058,0.0013832,293.7632491,293.5158934,0.000808942
0.1045,300.4599225,300.5657052,0.000330586,295.7493715,296.1839477,0.00139879,293.7698847,293.5196802,0.000818258
0.105,300.4863516,300.5937803,0.00033573,295.7664212,296.2058683,0.00141447,293.776551,293.5234819,0.000827627
0.1055,300.5127339,300.6218248,0.000340925,295.7834751,296.2278194,0.00143024,293.7832478,293.5272985,0.000837046
0.106,300.5390696,300.649839,0.00034617,295.8005329,296.2498007,0.00144608,293.7899751,293.5311298,0.000846517
0.1065,300.5653591,300.6778233,0.000351467,295.8175943,296.271812,0.00146202,293.7967325,293.5349758,0.000856038
0.107,300.5916025,300.705778,0.000356815,295.8346591,296.2938529,0.00147803,293.8035201,293.5388363,0.000865611
0.1075,300.6178001,300.7337033,0.000362214,295.8517271,296.315923,0.00149413,293.8103377,293.5427113,0.000875234
0.108,300.6439522,300.7615996,0.000367665,295.8687979,296.3380222,0.00151032,293.817185,293.5466007,0.000884908
0.1085,300.6700589,300.7894671,0.000373167,295.8858714,296.3601501,0.00152659,293.8240621,293.5505043,0.000894632
