time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0261,-3.69672445,1.438621787,0.4280168663,0.6943805455,0.4091122216,0.4280168663
0.0262,-4.020516068,1.40989224,0.4313029722,0.6980922058,0.4121967285,0.4313029722
0.0263,-4.32650552,1.379278998,0.4346016445,0.7017407329,0.4152946444,0.4346016445
0.0264,-4.613560717,1.346902509,0.4379128832,0.7053221511,0.4184055215,0.4379128832
0.0265,-4.880631875,1.312889136,0.4412366882,0.7088327374,0.4215288904,0.4412366882
0.0266,-5.126751511,1.277371156,0.4445730596,0.7122690218,0.42466426,0.4445730596
0.0267,-5.351034446,1.240486764,0.4479219974,0.7156277877,0.4278111169,0.4479219974
0.0268,-5.552677802,1.202380068,0.4512835015,0.7189060712,0.4309689261,0.4512835015
0.0269,-5.730961002,1.163201094,0.454657572,0.7221011615,0.4341371306,0.454657572
0.027,-5.885262635,1.12311237,0.4580442089,0.7252105846,0.4373151474,0.4580442089
0.0271,-6.015053205,1.082246885,0.4614434121,0.7282323698,0.440502455,0.4614434121
0.0272,-6.119914199,1.040767888,0.4648551818,0.7311647271,0.4436984523,0.4648551818
0.0273,-6.199528802,0.9988407745,0.4682795178,0.734006169,0.4469025313,0.4682795178
0.0274,-6.253679519,0.9566292058,0.4717164201,0.7367555283,0.4501140862,0.4717164201
0.0275,-6.282248177,0.9142951025,0.4751658889,0.7394119588,0.4533325131,0.4751658889
0.0276,-6.285215926,0.8719986473,0.478627924,0.7419749348,0.4565572097,0.478627924
0.0277,-6.262663233,0.8298982844,0.4821025254,0.7444442517,0.4597875758,0.4821025254
0.0278,-6.214769891,0.7881507196,0.4855896933,0.7468200255,0.463023013,0.4855896933
0.0279,-6.141815009,0.7469109202,0.4890894275,0.7491026928,0.4662629247,0.4890894275
0.028,-6.044177021,0.7063321153,0.4926017281,0.7512930112,0.4695067163,0.4926017281
0.0281,-5.922333681,0.6665657952,0.496126595,0.7533920589,0.4727537949,0.496126595
0.0282,-5.776862064,0.6277617122,0.4996640284,0.7554012349,0.4760035696,0.4996640284
0.0283,-5.608478754,0.5900708842,0.5032140281,0.7573223445,0.4792554544,0.5032140281
0.0284,-5.417845583,0.5536245722,0.5067765941,0.7591571183,0.4825089231,0.5067765941
0.0285,-5.205752607,0.5185511677,0.5103517266,0.7609077043,0.4857634378,0.5103517266
0.0286,-4.973175375,0.484982051,0.5139394254,0.7625767507,0.4890184671,0.5139394254
0.0287,-4.721143219,0.453040236,0.5175396906,0.7641670931,0.4922735031,0.5175396906
0.0288,-4.450739252,0.4228403702,0.5211525221,0.7656817546,0.4955280613,0.5211525221
0.0289,-4.163100372,0.3944887343,0.52477792,0.7671239454,0.4987816809,0.52477792
0.029,-3.859417255,0.3680832426,0.5284158843,0.7684970632,0.5020339241,0.5284158843
0.0291,-3.540934364,0.3437134427,0.532066415,0.769804693,0.505284377,0.532066415
0.0292,-3.208949939,0.3214605157,0.535729512,0.7710506069,0.5085326489,0.535729512
0.0293,-2.864816007,0.3013972763,0.5394051754,0.7722387646,0.5117783728,0.5394051754
0.0294,-2.509938375,0.2835881725,0.5430934052,0.773373313,0.515021205,0.5430934052
0.0295,-2.145776633,0.2680892856,0.5467942014,0.7744585863,0.5182608253,0.5467942014
0.0296,-1.773844151,0.2549483307,0.5505075639,0.7754991061,0.5214969369,0.5505075639
