time,energy.y,superCap.capacitor.v
142.02,-133198.8153,41.9875004
142.03,-133198.8153,41.98749952
142.04,-133198.8153,41.98749865
142.05,-133198.8153,41.98749777
142.06,-133198.8153,41.9874969
142.07,-133198.8153,41.98749602
142.08,-133198.8153,41.98749515
142.09,-133198.8153,41.98749428
142.1,-133198.8153,41.9874934
142.11,-133198.8153,41.98749253
142.12,-133198.8153,41.98749165
142.13,-133198.8153,41.98749078
142.14,-133198.8153,41.9874899
142.15,-133198.8153,41.98748903
142.16,-133198.8153,41.98748815
142.17,-133198.8153,41.98748728
142.18,-133198.8153,41.9874864
142.19,-133198.8153,41.98748553
142.2,-133198.8153,41.98748465
142.21,-133198.8153,41.98748378
142.22,-133198.8153,41.9874829
142.23,-133198.8153,41.98748203
142.24,-133198.8153,41.98748115
142.25,-133198.8153,41.98748028
142.26,-133198.8153,41.9874794
142.27,-133198.8153,41.98747853
142.28,-133198.8153,41.98747766
142.29,-133198.8153,41.98747678
142.3,-133198.8153,41.98747591
142.31,-133198.8153,41.98747503
142.32,-133198.8153,41.98747416
142.33,-133198.8153,41.98747328
142.34,-133198.8153,41.98747241
142.35,-133198.8153,41.98747153
142.36,-133198.8153,41.98747066
142.37,-133198.8153,41.98746978
142.38,-133198.8153,41.98746891
142.39,-133198.8153,41.98746803
142.4,-133198.8153,41.98746716
142.41,-133198.8153,41.98746628
142.42,-133198.8153,41.98746541
142.43,-133198.8153,41.98746453
142.44,-133198.8153,41.98746366
142.45,-133198.8153,41.98746278
142.46,-133198.8153,41.98746191
142.47,-133198.8153,41.98746103
142.48,-133198.8153,41.98746016
142.49,-133198.8153,41.98745929
142.5,-133198.8153,41.98745841
142.51,-133198.8153,41.98745754
142.52,-133198.8153,41.98745666
142.53,-133198.8153,41.98745579
142.54,-133198.8153,41.98745491
142.55,-133198.8153,41.98745404
142.56,-133198.8153,41.98745316
142.57,-133198.8153,41.98745229
142.58,-133198.8153,41.98745141
142.59,-133198.8153,41.98745054
